"","year","geography","housing_price_index","consumer_price_index","excluding_energy_consumer_index","energy_consumer_index","water_index","electricity_index","gdp","immigrants","emigrants","avg_hourly_wage","population","5-year_mortgage_rate","mortgage_interest_paid","bachelor_avg_rent","1-bedroom_avg_rent","2-bedroom_avg_rent","3-bedroom_avg_rent","all_avg_rent","bachelor_vacancy_rate","1-bedroom_vacancy_rate","2-bedroom_vacancy_rate","3-bedroom_vacancy_rate","all_vacancy_rate","bachelor_rental_supply","1-bedroom_rental_supply","2-bedroom_rental_supply","3-bedroom_rental_supply","all_rental_supply","gdp_change","gdp_pct_change","gdp_per_capita","gdp_per_capita_change","gdp_per_capita_pct_change","housing_price_pct_change","five_year_mortgage_change","consumer_price_pct_change","population_pct_change","immigration_pct_change","wage_pct_change","room_type","vacancy_rate","avg_rent","rental_supply","rental_supply_per_person","rental_supply_per_person_pct_change","rental_supply_pct_change","mortgage_interest_paid_cpi_adj","mortgage_interest_paid_cpi_pop_adj","avg_rent_cpi_adj","avg_rent_cpi_adj_change","avg_rent_cpi_adj_pct_change","avg_rent_change","avg_rent_pct_change","vacancy_change"
"11",2001,"Manitoba",46.2214285714286,98.6142857142857,98.0357142857143,104.214285714286,98.7714285714286,100.257142857143,79608000000.0133,6920,2564,21.3307142857143,1152144,6.64,6.42e+08,356,474,596,645,520,3.4,1.5,1.1,1.2,1.5,4088,30138,23589,2632,60447,NA,NA,69095.5297254626,NA,NA,NA,NA,NA,NA,NA,NA,"bachelor",3.4,356,4088,3.54816759016234,NA,NA,651021295.089092,565.052020484498,361.002462697378,NA,NA,NA,NA,NA
"12",2001,"Manitoba",46.2214285714286,98.6142857142857,98.0357142857143,104.214285714286,98.7714285714286,100.257142857143,79608000000.0133,6920,2564,21.3307142857143,1152144,6.64,6.42e+08,356,474,596,645,520,3.4,1.5,1.1,1.2,1.5,4088,30138,23589,2632,60447,NA,NA,69095.5297254626,NA,NA,NA,NA,NA,NA,NA,NA,"1-bedroom",1.5,474,30138,26.1581885597634,NA,NA,651021295.089092,565.052020484498,480.660582355498,NA,NA,NA,NA,NA
"13",2001,"Manitoba",46.2214285714286,98.6142857142857,98.0357142857143,104.214285714286,98.7714285714286,100.257142857143,79608000000.0133,6920,2564,21.3307142857143,1152144,6.64,6.42e+08,356,474,596,645,520,3.4,1.5,1.1,1.2,1.5,4088,30138,23589,2632,60447,NA,NA,69095.5297254626,NA,NA,NA,NA,NA,NA,NA,NA,"2-bedroom",1.1,596,23589,20.4740032495938,NA,NA,651021295.089092,565.052020484498,604.374909459655,NA,NA,NA,NA,NA
"14",2001,"Manitoba",46.2214285714286,98.6142857142857,98.0357142857143,104.214285714286,98.7714285714286,100.257142857143,79608000000.0133,6920,2564,21.3307142857143,1152144,6.64,6.42e+08,356,474,596,645,520,3.4,1.5,1.1,1.2,1.5,4088,30138,23589,2632,60447,NA,NA,69095.5297254626,NA,NA,NA,NA,NA,NA,NA,NA,"3-bedroom",1.2,645,2632,2.28443666763877,NA,NA,651021295.089092,565.052020484498,654.06345067362,NA,NA,NA,NA,NA
"15",2001,"Manitoba",46.2214285714286,98.6142857142857,98.0357142857143,104.214285714286,98.7714285714286,100.257142857143,79608000000.0133,6920,2564,21.3307142857143,1152144,6.64,6.42e+08,356,474,596,645,520,3.4,1.5,1.1,1.2,1.5,4088,30138,23589,2632,60447,NA,NA,69095.5297254626,NA,NA,NA,NA,NA,NA,NA,NA,"all",1.5,520,60447,52.4647960671583,NA,NA,651021295.089092,565.052020484498,527.306967984934,NA,NA,NA,NA,NA
"16",2001,"New Brunswick",78.1571428571429,96.8,96.4571428571429,99.0357142857143,95.8142857142857,98.3,47060300000.0156,1238,1675,21.6735714285714,749298,6.64,3.73e+08,365,432,532,576,501,6.6,5.3,3.4,3,4.1,1577,7848,16987,2927,29339,NA,NA,62805.8529450441,NA,NA,NA,NA,NA,NA,NA,NA,"bachelor",6.6,365,1577,2.10463660653038,NA,NA,385330578.512397,514.25544778232,377.066115702479,NA,NA,NA,NA,NA
"17",2001,"New Brunswick",78.1571428571429,96.8,96.4571428571429,99.0357142857143,95.8142857142857,98.3,47060300000.0156,1238,1675,21.6735714285714,749298,6.64,3.73e+08,365,432,532,576,501,6.6,5.3,3.4,3,4.1,1577,7848,16987,2927,29339,NA,NA,62805.8529450441,NA,NA,NA,NA,NA,NA,NA,NA,"1-bedroom",5.3,432,7848,10.4738034800573,NA,NA,385330578.512397,514.25544778232,446.280991735537,NA,NA,NA,NA,NA
"18",2001,"New Brunswick",78.1571428571429,96.8,96.4571428571429,99.0357142857143,95.8142857142857,98.3,47060300000.0156,1238,1675,21.6735714285714,749298,6.64,3.73e+08,365,432,532,576,501,6.6,5.3,3.4,3,4.1,1577,7848,16987,2927,29339,NA,NA,62805.8529450441,NA,NA,NA,NA,NA,NA,NA,NA,"2-bedroom",3.4,532,16987,22.6705529709141,NA,NA,385330578.512397,514.25544778232,549.586776859504,NA,NA,NA,NA,NA
"19",2001,"New Brunswick",78.1571428571429,96.8,96.4571428571429,99.0357142857143,95.8142857142857,98.3,47060300000.0156,1238,1675,21.6735714285714,749298,6.64,3.73e+08,365,432,532,576,501,6.6,5.3,3.4,3,4.1,1577,7848,16987,2927,29339,NA,NA,62805.8529450441,NA,NA,NA,NA,NA,NA,NA,NA,"3-bedroom",3,576,2927,3.90632298498061,NA,NA,385330578.512397,514.25544778232,595.04132231405,NA,NA,NA,NA,NA
"20",2001,"New Brunswick",78.1571428571429,96.8,96.4571428571429,99.0357142857143,95.8142857142857,98.3,47060300000.0156,1238,1675,21.6735714285714,749298,6.64,3.73e+08,365,432,532,576,501,6.6,5.3,3.4,3,4.1,1577,7848,16987,2927,29339,NA,NA,62805.8529450441,NA,NA,NA,NA,NA,NA,NA,NA,"all",4.1,501,29339,39.1553160424824,NA,NA,385330578.512397,514.25544778232,517.561983471074,NA,NA,NA,NA,NA
"21",2001,"Newfoundland and Labrador",50.1285714285714,97.7714285714286,97.1285714285714,102.457142857143,77.8,97.8142857142857,34978800000.0221,570,921,21.065,521583,6.64,2.46e+08,404,462,530,528,499,8.5,3.3,2.5,1.6,3.3,568,1611,3219,567,5965,NA,NA,67062.768533526,NA,NA,NA,NA,NA,NA,NA,NA,"bachelor",8.5,404,568,1.08899254768656,NA,NA,251607247.223846,482.391579525877,413.208649912332,NA,NA,NA,NA,NA
