"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","008","ALB","Albania","132","CPV","Cabo Verde","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0033850514681"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","008","ALB","Albania","893","MNE","Montenegro","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.917505105222"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","064","BTN","Bhutan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.09714495"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","266","GAB","Gabon","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.25048408"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","292","GIB","Gibraltar","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.25869698"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","430","LBR","Liberia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","7.29546387324232"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","024","AGO","Angola","678","STP","Sao Tomé and Principe","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.103065538772463"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","212","DMA","Dominica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.062"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","308","GRD","Grenada","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.433"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","659","KNA","Saint Kitts and Nevis","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.518"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","662","LCA","Saint Lucia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.974"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","028","ATG","Antigua and Barbuda","670","VCT","Saint Vincent and the Grenadines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.591"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","031","AZE","Azerbaijan","268","GEO","Georgia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","35.3234524"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","032","ARG","Argentina","600","PRY","Paraguay","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1890.18127378"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","048","BHR","Bahrain, Kingdom of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","10.4938257134267"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","084","BLZ","Belize","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.6103857590899"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","090","SLB","Solomon Islands","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.2081290232883"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","212","DMA","Dominica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.1075938477581"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","262","DJI","Djibouti","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.320217455683"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","520","NRU","Nauru","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0263725018672"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","598","PNG","Papua New Guinea","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","27.280209913104"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","690","SYC","Seychelles","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.0381275334979"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","036","AUS","Australia","826","GBR","United Kingdom","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","503.753697808606"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","048","BHR","Bahrain, Kingdom of","028","ATG","Antigua and Barbuda","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.315"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","048","BHR","Bahrain, Kingdom of","414","KWT","Kuwait, the State of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","13.142"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","048","BHR","Bahrain, Kingdom of","887","YEM","Yemen","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","6.925"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","052","BRB","Barbados","212","DMA","Dominica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.079"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","052","BRB","Barbados","388","JAM","Jamaica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","7.568"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","052","BRB","Barbados","662","LCA","Saint Lucia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.882"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","052","BRB","Barbados","670","VCT","Saint Vincent and the Grenadines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","5.758"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","052","BRB","Barbados","780","TTO","Trinidad and Tobago","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","46.777"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","068","BOL","Bolivia, Plurinational State of","292","GIB","Gibraltar","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.115"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","070","BIH","Bosnia and Herzegovina","008","ALB","Albania","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","10.39791511"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","072","BWA","Botswana","426","LSO","Lesotho","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.35055561111809"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","076","BRA","Brazil","032","ARG","Argentina","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3225.634"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","076","BRA","Brazil","152","CHL","Chile","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","446.233"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","076","BRA","Brazil","328","GUY","Guyana","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","16.083"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","084","BLZ","Belize","659","KNA","Saint Kitts and Nevis","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.6"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","084","BLZ","Belize","670","VCT","Saint Vincent and the Grenadines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.10523371"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","096","BRN","Brunei Darussalam","462","MDV","Maldives","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.068"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","112","BLR","Belarus","051","ARM","Armenia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","13.412"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","112","BLR","Belarus","184","COK","Cook Islands","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0061"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","112","BLR","Belarus","268","GEO","Georgia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","31.2913"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","112","BLR","Belarus","324","GIN","Guinea","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","5.7343"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","112","BLR","Belarus","498","MDA","Moldova, Republic of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","70.0756"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","052","BRB","Barbados","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","10.9443650614212"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","096","BRN","Brunei Darussalam","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.227601938129"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","184","COK","Cook Islands","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0475461602231"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","222","SLV","El Salvador","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","40.3720212525436"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","328","GUY","Guyana","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","10.6019225261894"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","626","TLS","Timor-Leste","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.76047036899"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","124","CAN","Canada","756","CHE","Switzerland","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","336.789970182631"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","152","CHL","Chile","332","HTI","Haiti","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.15975074"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","152","CHL","Chile","600","PRY","Paraguay","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","738.48666123"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","004","AFG","Afghanistan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","52.315403"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","024","AGO","Angola","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.075"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","050","BGD","Bangladesh","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","30.199733"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","148","TCD","Chad","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.498"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","152","CHL","Chile","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2893.784"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","222","SLV","El Salvador","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","75.750301"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","231","ETH","Ethiopia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","324.836019"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","328","GUY","Guyana","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.788"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","604","PER","Peru","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","361.436"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","608","PHL","Philippines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","937.029"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","626","TLS","Timor-Leste","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.207685"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","643","RUS","Russian Federation","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2293.764704"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","704","VNM","Viet Nam","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2158.415"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","736","SDN","Sudan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","770.860323"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","740","SUR","Suriname","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.744"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","764","THA","Thailand","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","6467.927"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","784","ARE","United Arab Emirates","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","475.731991"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","818","EGY","Egypt","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","203.773"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","826","GBR","United Kingdom","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1172.639423"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","882","WSM","Samoa","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.45673"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","893","MNE","Montenegro","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.265245"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","156","CHN","China","894","ZMB","Zambia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","69.238501"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","158","CHT","Chinese Taipei","096","BRN","Brunei Darussalam","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.484"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","158","CHT","Chinese Taipei","426","LSO","Lesotho","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.311"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","158","CHT","Chinese Taipei","558","NIC","Nicaragua","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","52.993"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","158","CHT","Chinese Taipei","591","PAN","Panama","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","16.3"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","170","COL","Colombia","068","BOL","Bolivia, Plurinational State of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","420.40885825"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","170","COL","Colombia","218","ECU","Ecuador","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","221.32015359"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","170","COL","Colombia","604","PER","Peru","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","257.55935796"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","170","COL","Colombia","862","VEN","Venezuela, Bolivarian Republic of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","5.19411142"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","180","COD","Democratic Republic of the Congo","024","AGO","Angola","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.89351218449635"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","188","CRI","Costa Rica","558","NIC","Nicaragua","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","113.993"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","192","CUB","Cuba","214","DOM","Dominican Republic","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","21.41381303"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","192","CUB","Cuba","328","GUY","Guyana","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","11.80986065"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","192","CUB","Cuba","862","VEN","Venezuela, Bolivarian Republic of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","14.66185343"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","204","BEN","Benin","292","GIB","Gibraltar","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.943"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","204","BEN","Benin","496","MNG","Mongolia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","5.65"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","204","BEN","Benin","768","TGO","Togo","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","57.0019007616615"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","212","DMA","Dominica","308","GRD","Grenada","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.542"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","212","DMA","Dominica","659","KNA","Saint Kitts and Nevis","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.5745"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","212","DMA","Dominica","662","LCA","Saint Lucia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.387"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","212","DMA","Dominica","670","VCT","Saint Vincent and the Grenadines","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.3145"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","218","ECU","Ecuador","068","BOL","Bolivia, Plurinational State of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","255.107"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","218","ECU","Ecuador","170","COL","Colombia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","178.209"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","222","SLV","El Salvador","320","GTM","Guatemala","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","465.45433035"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","231","ETH","Ethiopia","262","DJI","Djibouti","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","52.259"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","242","FJI","Fiji","296","KIR","Kiribati","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.53"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","268","GEO","Georgia","031","AZE","Azerbaijan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","36.2515418552254"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","288","GHA","Ghana","430","LBR","Liberia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","5.9130021592"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","296","KIR","Kiribati","548","VUT","Vanuatu","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","6.5682825139066"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","084","BLZ","Belize","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.727273"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","188","CRI","Costa Rica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","287.140619"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","222","SLV","El Salvador","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","272.921278"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","340","HND","Honduras","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","107.933779"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","558","NIC","Nicaragua","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","106.062802"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","320","GTM","Guatemala","591","PAN","Panama","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","34.975214"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","324","GIN","Guinea","694","SLE","Sierra Leone","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.8427038637112"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","328","GUY","Guyana","052","BRB","Barbados","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.205"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","328","GUY","Guyana","270","GMB","The Gambia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.247"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","328","GUY","Guyana","662","LCA","Saint Lucia","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","2.096"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","328","GUY","Guyana","740","SUR","Suriname","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","4.503"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","340","HND","Honduras","188","CRI","Costa Rica","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","151.72436525521"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","340","HND","Honduras","222","SLV","El Salvador","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","152.371738865705"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","344","HKG","Hong Kong, China","064","BTN","Bhutan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.094985692166"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","344","HKG","Hong Kong, China","132","CPV","Cabo Verde","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0075651643579"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","344","HKG","Hong Kong, China","152","CHL","Chile","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1410.38095924191"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","344","HKG","Hong Kong, China","583","FSM","Micronesia, Federated States of","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.034875305596"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","344","HKG","Hong Kong, China","764","THA","Thailand","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1515.87215985046"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","352","ISL","Iceland","462","MDV","Maldives","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.0404302116266"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","352","ISL","Iceland","578","NOR","Norway","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","54.522"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","004","AFG","Afghanistan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","507.946594"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","120","CMR","Cameroon","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","32.5299270048952"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","332","HTI","Haiti","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.97437343954125"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","364","IRN","Iran","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","141.762886"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","384","CIV","Côte d'Ivoire","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","275.995964417597"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","434","LBY","Libya","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.366128"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","530","ANT","Netherlands Antilles","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","0.194416"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","562","NER","Niger","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","3.92098"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","598","PNG","Papua New Guinea","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","29.578542"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","634","QAT","Qatar","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","1.7565937104205"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","702","SGP","Singapore","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","608.95597642679"
"Agricultural sector","TP_E_0150","AG - Value of exports to partner (imports by partner)","356","IND","India","736","SDN","Sudan","-","-","-","-","A","Annual","A","Annual","USM","Million US dollar","-","","","","154.614763"
